StateAb,DivisionNm,CandidateNm,PartyNm,BallotPosition
NSW,Eden-Monaro,"HARRIS, Thomas",Christian Democratic Party (Fred Nile Group),6
NSW,Eden-Monaro,"SINGH, Chandra",United Australia Party,7
NSW,Eden-Monaro,"HOLGATE, James",Independent,8
NSW,Farrer,"LEY, Sussan",Liberal,1
NSW,Farrer,"HAMILTON, Ross",Sustainable Australia,2
NSW,Farrer,"DRABSCH, Kieran",Australian Labor Party,3
NSW,Farrer,"MACK, Kevin Francis",Independent,4
NSW,Farrer,"LANGFIELD, Philip",Christian Democratic Party (Fred Nile Group),5
NSW,Farrer,"ELLIS, Mark",Liberal Democrats,6
NSW,Farrer,"MILLS, Brian",Independent,7
NSW,Farrer,"ROSE, Michael Hunter",United Australia Party,8
NSW,Farrer,"MOSS, Dean",The Greens,9
NSW,Fowler,"MOCANU, Francesca",Christian Democratic Party (Fred Nile Group),1
NSW,Fowler,"HAYES, Chris",Australian Labor Party,2
NSW,Fowler,"JABBOUR, Joshua",United Australia Party,3
NSW,Fowler,"LEE, Seamus",The Greens,4
NSW,Fowler,"BLEWITT, Wayne",Liberal,5
NSW,Gilmore,"McCALLUM, Carmel Mary",The Greens,1
NSW,Gilmore,"SCHULTZ, Grant",Independent,2
NSW,Gilmore,"LESLIGHT, Milton",United Australia Party,3
NSW,Gilmore,"PHILLIPS, Fiona",Australian Labor Party,4
NSW,Gilmore,"KOLUKULAPALLY, Serah",Christian Democratic Party (Fred Nile Group),5
NSW,Gilmore,"HODGKINSON, Katrina",The Nationals,6
NSW,Gilmore,"MUNDINE, Warren",Liberal,7
NSW,Grayndler,"MORELLO, Majella",Science Party,1
NSW,Grayndler,"HENDERSON, Derek",Liberal,2
NSW,Grayndler,"KING-ORSBORN, Paris",United Australia Party,3
NSW,Grayndler,"CASEY, Jim",The Greens,4
NSW,Grayndler,"ALBANESE, Anthony",Australian Labor Party,5
NSW,Grayndler,"CAO, Gui Dong",Christian Democratic Party (Fred Nile Group),6
NSW,Greenway,"McFARLAND, Graham",Australian Better Families,1
NSW,Greenway,"ATKINS, Damien",The Greens,2
NSW,Greenway,"GREEN, Allan",Liberal,3
NSW,Greenway,"ROWLAND, Michelle",Australian Labor Party,4
NSW,Greenway,"FEENEY, Scott Daniel",United Australia Party,5
