StateAb,DivisionNm,CandidateNm,PartyNm,BallotPosition
ACT,Bean,"CONWAY, Sean",United Australia Party,1
ACT,Bean,"AMBARD, Benjamin",Pauline Hanson's One Nation,2
ACT,Bean,"SMITH, David",Australian Labor Party,3
ACT,Bean,"CHRISTIE, Jamie",Independent,4
ACT,Bean,"SAVERY, Kathryn Jane",The Greens,5
ACT,Bean,"HIATT, Jane",Liberal,6
ACT,Canberra,"SMITH, Catherine",United Australia Party,1
ACT,Canberra,"MILES, James",Pauline Hanson's One Nation,2
ACT,Canberra,"BOHM, Tim",Independent,3
ACT,Canberra,"MINSON, Slade",Liberal,4
ACT,Canberra,"HOLLO, Tim",The Greens,5
ACT,Canberra,"PAYNE, Alicia",Australian Labor Party,6
ACT,Fenner,"LEIGH, Andrew",Australian Labor Party,1
ACT,Fenner,"KUSTER, Nathan",Liberal,2
ACT,Fenner,"ELTON, Timothy Peter",United Australia Party,3
ACT,Fenner,"GRANT, Lucia",Pauline Hanson's One Nation,4
ACT,Fenner,"SOJIC, Natasa",The Greens,5
ACT,Fenner,"JAKEMAN, Guy",Liberal Democrats,6
NSW,Banks,"COLEMAN, David",Liberal,1
NSW,Banks,"COCKER, Elouise Ivy",Liberal Democrats,2
NSW,Banks,"MOMIRCEVSKI, Marika",United Australia Party,3
NSW,Banks,"HANNA, Natalie",The Greens,4
NSW,Banks,"KHOUW, Steve",,5
NSW,Banks,"HEFFERNAN, Malcolm Phillip",Pauline Hanson's One Nation,6
NSW,Banks,"SOON, Zhi",Labor,7
NSW,Barton,"BURNEY, Linda",Labor,1
NSW,Barton,"HONOS, Dimitri",United Australia Party,2
NSW,Barton,"VANDIJK, Taylor",The Greens,3
NSW,Barton,"GOODY, John",Liberal,4
NSW,Barton,"POLLARD, Phillip",Pauline Hanson's One Nation,5
NSW,Bennelong,"AUGUST, John","FUSION: Science, Pirate, Secular, Climate Emergency",1
NSW,Bennelong,"ADAMS, Tony",The Greens,2
NSW,Bennelong,"CAMERON, Dougal",Liberal Democrats,3
NSW,Bennelong,"KENNEDY, Simon",Liberal,4
NSW,Bennelong,"COLLYER, Rhys Ian",United Australia Party,5
NSW,Bennelong,"WATERSON, Victor",Pauline Hanson's One Nation,6
NSW,Bennelong,"LAXALE, Jerome",Labor,7
NSW,Bennelong,"DHONGDUE, Kyinzom",Democratic Alliance,8
NSW,Berowra,"SAMIOS, Nicholas",Liberal Democrats,1
NSW,Berowra,"SALITRA, Tania",The Greens,2
NSW,Berowra,"BOSMA, Rhiannon",Pauline Hanson's One Nation,3
NSW,Berowra,"LEESER, Julian",Liberal,4
NSW,Berowra,"CLARKE, Brendan Michael","FUSION: Science, Pirate, Secular, Climate Emergency",5
NSW,Berowra,"KOSCHINSKI, Benson",Labor,6
NSW,Berowra,"LOUIE, David James",Australian Federation Party,7
NSW,Berowra,"WOODWARD, Roger",Independent,8
NSW,Berowra,"MARTINIC, Christopher",United Australia Party,9
NSW,Berowra,"CASWELL, Benjamin",Independent,10
NSW,Blaxland,"STEPANOFF, Adam",Pauline Hanson's One Nation,1
NSW,Blaxland,"GUNEY, Oz",Liberal,2
NSW,Blaxland,"EISLER, Linda",The Greens,3
NSW,Blaxland,"CLARE, Jason",Labor,4
NSW,Blaxland,"SINOSIC, Elvis",United Australia Party,5
NSW,Bradfield,"BOELE, Nicolette",Independent,1
NSW,Bradfield,"BRIGDEN, David Gordon",Labor,2
NSW,Bradfield,"COUSINS, Martin",The Greens,3
NSW,Bradfield,"KITSON, Janine",Independent,4
NSW,Bradfield,"FLETCHER, Rob",United Australia Party,5
NSW,Bradfield,"FLETCHER, Paul",Liberal,6
NSW,Bradfield,"LOWE, Michael",Pauline Hanson's One Nation,7
NSW,Calare,"HOOK, Kate",Independent,1
NSW,Calare,"WHITTAKER, Stacey",Pauline Hanson's One Nation,2
NSW,Calare,"NANKERVIS, Kay",The Greens,3
NSW,Calare,"ELLIOTT, Sarah",Labor,4
NSW,Calare,"GEE, Andrew",The Nationals,5
NSW,Calare,"JANNIS, Adam John",United Australia Party,6
NSW,Chifley,"BATISH, Amit",Pauline Hanson's One Nation,1
NSW,Chifley,"RASKOV, Zvetanka",United Australia Party,2
NSW,Chifley,"KHAN, Ammar",Independent,3
NSW,Chifley,"ROUGHLEY, Ben",Liberal Democrats,4
NSW,Chifley,"SELVENTHIRAN, Sujan",The Greens,5
NSW,Chifley,"SINGH, Jugandeep",Liberal,6
NSW,Chifley,"HUSIC, Ed",Labor,7
NSW,Cook,"CAMERON, Gaye",Pauline Hanson's One Nation,1
NSW,Cook,"DYSON, Catherine",The Greens,2
NSW,Cook,"MORRISON, Scott",Liberal,3
NSW,Cook,"GUINANE, Jacqueline",United Australia Party,4
NSW,Cook,"EARLE, Simon",Labor,5
NSW,Cowper,"ASPIOTIS, Faye",Pauline Hanson's One Nation,1
NSW,Cowper,"McMULLEN, Keith",Labor,2
NSW,Cowper,"CONAGHAN, Pat",The Nationals,3
NSW,Cowper,"HEISE, Caz",Independent,4
NSW,Cowper,"CHASELING, Simon",Liberal Democrats,5
NSW,Cowper,"FAIRHALL, Joshua Stephen",United Australia Party,6
NSW,Cowper,"NOTT, Timothy",The Greens,7
NSW,Cunningham,"UREN, Marcus",Liberal,1
NSW,Cunningham,"BRITTON, Ben",United Australia Party,2
NSW,Cunningham,"BYRNES, Alison",Labor,3
NSW,Cunningham,"GARNAUT-MILLER, Alexis",Citizens Party,4
NSW,Cunningham,"GREEN, Dylan",The Greens,5
NSW,Cunningham,"GLOVER, Michael",Liberal Democrats,6
NSW,Cunningham,"GROGAN, Thomas",Pauline Hanson's One Nation,7
NSW,Dobell,"BARNES, Geoff","FUSION: Science, Pirate, Secular, Climate Emergency",1
NSW,Dobell,"MACKIN, Dean James",United Australia Party,2
NSW,Dobell,"FENELEY, Michael",Liberal,3
NSW,Dobell,"CONNOR, Cath",The Greens,4
NSW,Dobell,"STEVENSON, Martin",Pauline Hanson's One Nation,5
NSW,Dobell,"METHERELL, Eliot",Liberal Democrats,6
NSW,Dobell,"McBRIDE, Emma",Labor,7
NSW,Eden-Monaro,"HOLGATE, James",Sustainable Australia Party - Stop Overdevelopment / Corruption,1
NSW,Eden-Monaro,"HOLMES, Maxwell",Liberal Democrats,2
NSW,Eden-Monaro,"McBAIN, Kristy",Labor,3
NSW,Eden-Monaro,"BUTLER, Greg",Australian Democrats,4
NSW,Eden-Monaro,"GARNON, Darren Scott",United Australia Party,5
NSW,Eden-Monaro,"NOCKLES, Jerry",Liberal,6
NSW,Eden-Monaro,"HARRIS, Vivian",The Greens,7
NSW,Eden-Monaro,"McLENNAN, Toni",Informed Medical Options Party,8
NSW,Eden-Monaro,"THALER, Andrew",Independent,9
NSW,Eden-Monaro,"SHANNON, Boyd",Pauline Hanson's One Nation,10
NSW,Farrer,"DAVERN, Eli",The Greens,1
NSW,Farrer,"LEY, Sussan",Liberal,2
NSW,Farrer,"DUNCAN-STRELEC, Amanda",Independent,3
NSW,Farrer,"BRITTON, Paul","Shooters, Fishers and Farmers Party",4
NSW,Farrer,"ROWORTH, Ian Christopher",Liberal Democrats,5
NSW,Farrer,"FRANCIS, Richard",Pauline Hanson's One Nation,6
NSW,Farrer,"RAMOS, Julie",United Australia Party,7
NSW,Farrer,"CAMERON, Darren Michael",Labor,8
NSW,Fowler,"KENEALLY, Kristina",Labor,1
NSW,Fowler,"PANICH, Lela Lepa",United Australia Party,2
NSW,Fowler,"RUNGE, Peter Ronald",Liberal Democrats,3
NSW,Fowler,"LE, Dai",Independent,4
NSW,Fowler,"NGUYEN, Courtney",Liberal,5
NSW,Fowler,"MARGOS, Tony",Pauline Hanson's One Nation,6
NSW,Fowler,"HOWARD, Avery",The Greens,7
NSW,Gilmore,"CONSTANCE, Andrew",Liberal,1
NSW,Gilmore,"DIGIGLIO, Nina",Independent,2
NSW,Gilmore,"McCALLUM, Carmel",The Greens,3
NSW,Gilmore,"MALONEY, Jordan Lindsay",United Australia Party,4
NSW,Gilmore,"EID, Jerremy",Pauline Hanson's One Nation,5
NSW,Gilmore,"FADINI, Adrian",Liberal Democrats,6
NSW,Gilmore,"PHILLIPS, Fiona",Labor,7
NSW,Grayndler,"SMITH, David Bruce",United Australia Party,1
NSW,Grayndler,"ALBANESE, Anthony",Labor,2
NSW,Grayndler,"ZHANG, Ben",Liberal,3
NSW,Grayndler,"HAGGERTY, James","FUSION: Science, Pirate, Secular, Climate Emergency",4
